                                              radext_fao56: EXTRA TERRESTRIAL RADIATION (W/m2)

         DAY   90S  80S   70S   60S   50S   40S   30S   20S   10S   EQ    10N   20N   30N   40N   50N   60N    70N    80N    90N

(112)	113  -999.9 -999.9  34.8 100.1 168.5 234.2 294.3 346.4 388.7 419.8 438.8 445.2 438.7 419.9 389.7 350.3 306.2 284.4   0.4
(113)	114  -999.9 -999.9  32.4  97.3 165.5 231.5 291.8 344.4 387.3 419.0 438.7 445.8 440.1 422.1 392.7 354.1 311.1 291.9   0.4
(114)	115  -999.9 -999.9  30.2  94.5 162.7 228.7 289.4 342.4 385.8 418.3 438.7 446.4 441.5 424.2 395.6 357.8 316.0 299.4   0.4
(115)	116  -999.9 -999.9  28.1  91.8 159.8 226.0 287.1 340.5 384.4 417.5 438.5 447.0 442.8 426.3 398.5 361.6 320.8 306.7   0.4
(116)	117  -999.9 -999.9  26.0  89.1 157.0 223.4 284.7 338.5 383.0 416.7 438.4 447.6 444.2 428.4 401.4 365.3 325.7 314.0   0.5
(117)	118  -999.9 -999.9  24.0  86.5 154.3 220.8 282.4 336.6 381.6 415.9 438.3 448.2 445.5 430.4 404.2 369.0 330.5 321.1   0.5
(118)	119  -999.9 -999.9  22.1  83.9 151.6 218.2 280.0 334.7 380.2 415.1 438.1 448.7 446.7 432.4 407.0 372.6 335.3 328.1   0.5
(119)	120  -999.9 -999.9  20.2  81.4 149.0 215.6 277.8 332.8 378.9 414.3 438.0 449.3 448.0 434.4 409.7 376.2 340.1 335.1   0.5
(120)	121  -999.9 -999.9  18.5  78.9 146.4 213.1 275.5 331.0 377.5 413.5 437.8 449.8 449.2 436.4 412.4 379.7 344.8 341.9   0.5
(121)	122  -999.9 -999.9  16.8  76.5 143.8 210.6 273.3 329.1 376.1 412.7 437.6 450.2 450.3 438.3 415.1 383.2 349.6 348.5   0.5
(122)	123  -999.9 -999.9  15.2  74.2 141.3 208.2 271.1 327.3 374.8 411.8 437.4 450.7 451.5 440.1 417.7 386.7 354.2 355.1   0.5
(123)	124  -999.9 -999.9  13.7  71.9 138.8 205.8 268.9 325.5 373.4 411.0 437.2 451.1 452.6 442.0 420.3 390.1 358.9 361.6   0.5
(124)	125  -999.9 -999.9  12.2  69.7 136.4 203.5 266.8 323.7 372.1 410.2 437.0 451.6 453.7 443.7 422.8 393.5 363.5 367.9   0.5
(125)	126  -999.9 -999.9  10.9  67.6 134.1 201.2 264.7 322.0 370.8 409.4 436.8 452.0 454.8 445.5 425.3 396.8 368.1 374.1   0.5
(126)	127  -999.9 -999.9   9.6  65.5 131.8 198.9 262.7 320.2 369.4 408.6 436.5 452.4 455.8 447.2 427.7 400.0 372.6 380.2   0.6
(127)	128  -999.9 -999.9   8.4  63.4 129.5 196.7 260.6 318.5 368.2 407.8 436.3 452.7 456.8 448.9 430.1 403.3 377.1 386.2   0.6
(128)	129  -999.9 -999.9   7.2  61.4 127.3 194.5 258.6 316.8 366.9 407.0 436.0 453.1 457.8 450.6 432.5 406.4 381.6 392.1   0.6
(129)	130  -999.9 -999.9   6.2  59.5 125.2 192.4 256.7 315.2 365.6 406.3 435.8 453.4 458.8 452.2 434.8 409.5 386.0 397.8   0.6
(130)	131  -999.9 -999.9   5.2  57.6 123.1 190.3 254.8 313.5 364.4 405.5 435.5 453.7 459.7 453.7 437.0 412.6 390.4 403.4   0.6
(131)	132  -999.9 -999.9   4.3  55.8 121.0 188.2 252.9 311.9 363.1 404.7 435.3 454.0 460.6 455.3 439.2 415.6 394.7 408.9   0.6
(132)	133  -999.9 -999.9   3.5  54.1 119.0 186.2 251.0 310.4 361.9 403.9 435.0 454.3 461.5 456.8 441.4 418.6 399.0 414.2   0.6
(133)	134  -999.9 -999.9   2.7  52.4 117.0 184.3 249.2 308.8 360.7 403.2 434.7 454.6 462.3 458.2 443.5 421.5 403.2 419.4   0.6
(134)	135  -999.9 -999.9   2.0  50.7 115.1 182.4 247.5 307.3 359.6 402.4 434.5 454.8 463.1 459.6 445.6 424.3 407.4 424.5   0.6
(135)	136  -999.9 -999.9   1.4  49.1 113.3 180.5 245.7 305.8 358.4 401.7 434.2 455.1 463.9 461.0 447.6 427.1 411.5 429.5   0.6
(136)	137  -999.9 -999.9   0.9  47.6 111.5 178.7 244.0 304.4 357.3 401.0 433.9 455.3 464.7 462.4 449.6 429.8 415.6 434.3   0.6
(137)	138  -999.9 -999.9   0.5  46.1 109.8 176.9 242.4 302.9 356.2 400.2 433.7 455.5 465.4 463.7 451.5 432.4 419.7 439.0   0.6
(138)	139  -999.9 -999.9   0.2  44.7 108.1 175.2 240.8 301.6 355.1 399.5 433.4 455.7 466.1 464.9 453.4 435.0 423.8 443.6   0.6
(139)	140  -999.9 -999.9   0.0  43.3 106.4 173.5 239.2 300.2 354.0 398.8 433.1 455.9 466.8 466.1 455.2 437.5 427.8 448.0   0.6
(140)	141  -999.9 -999.9 -999.9  41.9 104.8 171.9 237.7 298.9 353.0 398.1 432.8 456.1 467.5 467.3 456.9 440.0 431.9 452.3   0.7
(141)	142  -999.9 -999.9 -999.9  40.7 103.3 170.3 236.2 297.6 352.0 397.5 432.6 456.2 468.1 468.5 458.6 442.4 435.9 456.5   0.7
(142)	143  -999.9 -999.9 -999.9  39.4 101.8 168.8 234.8 296.4 351.0 396.8 432.3 456.4 468.7 469.6 460.3 444.7 439.7 460.5   0.7
(143)	144  -999.9 -999.9 -999.9  38.2 100.4 167.3 233.4 295.1 350.1 396.2 432.0 456.5 469.3 470.7 461.9 446.9 443.4 464.4   0.7
